PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Length (in)	Series
B37AL-36-09-LR	B37-36in	B37-09in	7.14	37.5	10.5	6.05	36	9	0.09	2	0.075	1	1	6	23.5625	B Series 37  Aluminum 7in rails
B37AL-36-12-LR	B37-36in	B37-12in	7.14	37.5	13.5	6.05	36	12	0.09	2	0.075	1	1	6	21.875	B Series 37  Aluminum 7in rails
B37AL-36-18-LR	B37-36in	B37-18in	7.14	37.5	19.5	6.05	36	18	0.09	2	0.075	1	1	6	18.375	B Series 37  Aluminum 7in rails
B37AL-36-24-LR	B37-36in	B37-24in	7.14	37.5	25.5	6.05	36	24	0.09	2	0.075	1	1	6	14.9375	B Series 37  Aluminum 7in rails
B37AL-36-30-LR	B37-36in	B37-30in	7.14	37.5	31.5	6.05	36	30	0.09	2	0.075	1	1	6	11.5	B Series 37  Aluminum 7in rails
B37AL-42-06-LR	B37-42in	B37-06in	7.14	43.5	7.5	6.05	42	6	0.09	2	0.075	1	1	6	28.75	B Series 37  Aluminum 7in rails
B37AL-42-09-LR	B37-42in	B37-09in	7.14	43.5	10.5	6.05	42	9	0.09	2	0.075	1	1	6	27.0625	B Series 37  Aluminum 7in rails
B37AL-42-12-LR	B37-42in	B37-12in	7.14	43.5	13.5	6.05	42	12	0.09	2	0.075	1	1	6	25.3125	B Series 37  Aluminum 7in rails
B37AL-42-18-LR	B37-42in	B37-18in	7.14	43.5	19.5	6.05	42	18	0.09	2	0.075	1	1	6	21.875	B Series 37  Aluminum 7in rails
B37AL-42-24-LR	B37-42in	B37-24in	7.14	43.5	25.5	6.05	42	24	0.09	2	0.075	1	1	6	18.375	B Series 37  Aluminum 7in rails
B37AL-42-30-LR	B37-42in	B37-30in	7.14	43.5	31.5	6.05	42	30	0.09	2	0.075	1	1	6	14.9375	B Series 37  Aluminum 7in rails
B37AL-42-36-LR	B37-42in	B37-36in	7.14	43.5	37.5	6.05	42	36	0.09	2	0.075	1	1	6	11.5	B Series 37  Aluminum 7in rails
