CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideHeight	CATRouOutsideWidth1	CATRouOutsideWidth2	Length	InsideWidth1	InsideWidth2	LoadingDepth	RailFlangeWidth	RailFlangeThickness	RailWebThickness	RungSpacing	RungHeight	RungLength
B37AL-36-12-SR	B37x36"	B37x12"	7.14in	37.5in	13.5in	14.9375in	36in	12in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-36-18-SR	B37x36"	B37x18"	7.14in	37.5in	19.5in	13.1875in	36in	18in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-36-24-SR	B37x36"	B37x24"	7.14in	37.5in	25.5in	11.500in	36in	24in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-36-30-SR	B37x36"	B37x30"	7.14in	37.5in	31.5in	9.7500in	36in	30in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-06-SR	B37x42"	B37x6"	7.14in	43.5in	7.5in	18.375in	42in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-09-SR	B37x42"	B37x9"	7.14in	43.5in	10.5in	17.500in	42in	9in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-12-SR	B37x42"	B37x12"	7.14in	43.5in	13.5in	16.6875in	42in	12in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-18-SR	B37x42"	B37x18"	7.14in	43.5in	19.5in	14.9375in	42in	18in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-24-SR	B37x42"	B37x24"	7.14in	43.5in	25.5in	13.1875in	42in	24in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-30-SR	B37x42"	B37x30"	7.14in	43.5in	31.5in	11.500in	42in	30in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-42-36-SR	B37x42"	B37x36"	7.14in	43.5in	37.5in	9.7500in	42in	36in	6.05in	2in	0.09in	0.075in	6in	1in	1in
